time (s),temperature (K),NO (frac)
0.8994974874371859,778.5819413780596,2.9042258393695373e-07
0.9045226130653267,780.9425044409427,3.0923984536110984e-07
0.9095477386934674,783.4971151911095,3.3062872856273585e-07
0.914572864321608,786.2829498312769,3.552303234616248e-07
0.9195979899497487,789.3488144185856,3.8393103045788124e-07
0.9246231155778895,792.7605471738846,4.179968682932445e-07
0.9296482412060302,796.609958882373,4.593093722463943e-07
0.9346733668341709,801.0305060380261,5.108077615720779e-07
0.9396984924623115,806.2268457540592,5.773891036903918e-07
0.9447236180904522,812.5361756115191,6.679518900286048e-07
0.949748743718593,820.5736015660486,8.00794912082436e-07
0.9547738693467337,831.652145305283,1.0215479359935472e-06
0.9597989949748744,849.4903815855309,1.492217870134118e-06
0.964824120603015,896.938775773046,3.831941639806575e-06
0.9698492462311558,2865.1140400645636,9.434655972884695e-05
0.9748743718592965,2866.237562634899,9.434186193180074e-05
0.9798994974874372,2867.2831118995646,9.433303682387796e-05
0.9849246231155779,2868.255501301063,9.432339358682224e-05
0.9899497487437187,2869.158434100323,9.431378695086236e-05
0.9949748743718593,2869.995628667206,9.430456391450016e-05
1.0,2870.7707880517337,9.429585909794909e-05
